page,country,rev_id,Population mid-2018 (millions),prediction
Ali al-Sartawi,Palestinian Territory,710990363.0,,Stub
Jamal Tirawi,Palestinian Territory,712310215.0,,Start
Samir Abu Eisheh,Palestinian Territory,713203735.0,,Stub
Sami Taha,Palestinian Territory,713505054.0,,Start
Ayyub Musallam,Palestinian Territory,714176771.0,,Stub
Hajj Essa Hamed,Palestinian Territory,714181175.0,,Stub
Hasan Tahboub,Palestinian Territory,714208891.0,,Stub
Hanna Nasser,Palestinian Territory,714586856.0,,Stub
Ghazi Hanania,Palestinian Territory,715125381.0,,Stub
Amin Abd al-Hadi,Palestinian Territory,716425885.0,,Stub
Samir Hulileh,Palestinian Territory,717174805.0,,Start
Hatem Qafisha,Palestinian Territory,717350346.0,,Stub
Nayef Rajoub,Palestinian Territory,717907429.0,,Stub
Ghassan Shakaa,Palestinian Territory,720225559.0,,Stub
Salim Zanoun,Palestinian Territory,720541817.0,,Stub
Ahmad Bahar (Palestinian politician),Palestinian Territory,725592476.0,,Stub
Umm Nidal,Palestinian Territory,729635985.0,,C
Aref al-Dajani,Palestinian Territory,730565205.0,,Start
Faed Mustafa,Palestinian Territory,730612889.0,,Stub
Interior Minister of the Palestinian National Authority,Palestinian Territory,734366909.0,,C
Samiha Khalil,Palestinian Territory,737316891.0,,Start
Imil Jarjoui,Palestinian Territory,738485209.0,,Stub
Abu Zakaria al-Jamal,Palestinian Territory,740251014.0,,Stub
Mustafa al-Khalidi,Palestinian Territory,740562507.0,,Stub
Samir Ghawshah,Palestinian Territory,741240899.0,,Start
Fuad Kokaly,Palestinian Territory,742810698.0,,Stub
Janet Mikhail,Palestinian Territory,742930612.0,,Stub
Hind Khoury,Palestinian Territory,744229617.0,,Stub
Saloum Cohen,Palestinian Territory,744680083.0,,Stub
Ahmed Majdalani,Palestinian Territory,745445418.0,,Start
Faidi al-Alami,Palestinian Territory,746561126.0,,Stub
Arafat scarf,Palestinian Territory,752269980.0,,Stub
Zuhir al-Qaisi,Palestinian Territory,754951299.0,,C
Mohammed Shabir,Palestinian Territory,754960024.0,,Start
Said Seyam,Palestinian Territory,755358806.0,,C
Atef Adwan,Palestinian Territory,756834998.0,,Start
Moussa Arafat,Palestinian Territory,756836183.0,,Start
Khouloud Daibes,Palestinian Territory,757565638.0,,Stub
Nahid al-Rayyis,Palestinian Territory,759387598.0,,Start
Rawhi Fattouh,Palestinian Territory,760357919.0,,Start
Wasfi Kabha,Palestinian Territory,760375386.0,,Stub
Omar Hammayil,Palestinian Territory,760380012.0,,Stub
Mohammed Milhim,Palestinian Territory,760380700.0,,Stub
Faisal Husseini,Palestinian Territory,765742925.0,,Start
Haidar Abdel-Shafi,Palestinian Territory,766784372.0,,Start
Nasser al-Shaer,Palestinian Territory,766840809.0,,Start
Omar Abd al-Razaq,Palestinian Territory,766847361.0,,Stub
Adnan al-Husayni,Palestinian Territory,767482479.0,,Stub
Ziad Abu Amr,Palestinian Territory,767881055.0,,Start
Ziad Abuzayyad,Palestinian Territory,768374386.0,,Start
Azzam al-Ahmad,Palestinian Territory,769135700.0,,Stub
Leila Shahid,Palestinian Territory,769328020.0,,Start
Sharm El Sheikh Memorandum,Palestinian Territory,771217707.0,,Start
Hussein al-Husayni,Palestinian Territory,773002344.0,,Start
Riyad al-Maliki,Palestinian Territory,773227993.0,,Start
Yasser Abed Rabbo,Palestinian Territory,774821388.0,,C
Isra al-Modallal,Palestinian Territory,775535912.0,,Start
Jamal Abu Samhadana,Palestinian Territory,775898615.0,,C
Sufian Abu Zaida,Palestinian Territory,776289919.0,,Start
Taysir Khalid,Palestinian Territory,776386870.0,,Stub
Ibrahim Nassar,Palestinian Territory,776831011.0,,Start
Anwar Khatib,Palestinian Territory,777026878.0,,Start
Jamil Majdalawi,Palestinian Territory,779034357.0,,Stub
Foreign Affairs Minister of the Palestinian National Authority,Palestinian Territory,779105366.0,,Start
Rabiha Diab,Palestinian Territory,779367907.0,,Stub
Ahmed Hilmi Pasha,Palestinian Territory,782105397.0,,C
Majida Al-Masri,Palestinian Territory,783041670.0,,Stub
Emil Ghuri,Palestinian Territory,784373796.0,,Stub
Ali Jarbawi,Palestinian Territory,784662302.0,,Start
Jamal al-Jamal,Palestinian Territory,784977752.0,,Start
Jamal al-Husayni,Palestinian Territory,785938135.0,,B
Musa al-Husayni,Palestinian Territory,785938199.0,,B
Salim al-Husayni,Palestinian Territory,785938222.0,,Stub
Mustafa Barghouti,Palestinian Territory,787198183.0,,C
Abdel Hafiz Nofal,Palestinian Territory,787385830.0,,Start
Zaki al-Ghul,Palestinian Territory,787447130.0,,Stub
Oslo I Accord,Palestinian Territory,787453135.0,,C
Adly Yaish,Palestinian Territory,787691185.0,,Stub
Intissar al-Wazir,Palestinian Territory,788004334.0,,Start
Muhammad Abu Tir,Palestinian Territory,788019130.0,,C
"Palestinian general election, 1996",Palestinian Territory,788023506.0,,C
Protocol Concerning the Redeployment in Hebron,Palestinian Territory,788026998.0,,C
Yousef al-Khalidi,Palestinian Territory,788159128.0,,Stub
List of mayors of Nablus,Palestinian Territory,788189214.0,,Stub
Khalil al-Hayya,Palestinian Territory,788437086.0,,Stub
President of the Palestinian National Authority,Palestinian Territory,788509815.0,,B
Fathi Ahmad Hammad,Palestinian Territory,788591724.0,,Stub
Abdullah Rimawi,Palestinian Territory,788953220.0,,GA
Yahya Hammuda,Palestinian Territory,788988278.0,,Stub
Hani al-Hassan,Palestinian Territory,789228790.0,,Start
Bashir Barghouti,Palestinian Territory,790695172.0,,Start
Bassam as-Salhi,Palestinian Territory,790721748.0,,Stub
Khalida Jarrar,Palestinian Territory,791881528.0,,B
Kamel al-Budeiri,Palestinian Territory,792611747.0,,Start
Zuheir Mohsen,Palestinian Territory,792615206.0,,C
Abdel-Razak al-Yehiyeh,Palestinian Territory,793718428.0,,Start
Abu Ali Mustafa,Palestinian Territory,794170874.0,,Start
Salah Khalaf,Palestinian Territory,794482018.0,,C
Kamal Nasser,Palestinian Territory,795004000.0,,Start
Current members of Palestinian Legislative Council,Palestinian Territory,795648388.0,,Start
Fathi Hamad,Palestinian Territory,796124047.0,,Start
Musa Alami,Palestinian Territory,796697881.0,,C
Palestinian Declaration of Independence,Palestinian Territory,796911861.0,,C
Ahmad Kurd,Palestinian Territory,796924085.0,,Stub
Amin al-Majaj,Palestinian Territory,796961464.0,,Start
Aziz Duwaik,Palestinian Territory,797021613.0,,C
Ahmed Yassin,Palestinian Territory,797122322.0,,GA
Hanan Ashrawi,Palestinian Territory,797806716.0,,C
Cause of Yasser Arafat's death,Palestinian Territory,798100387.0,,B
Kassim Al-Rimawi,Palestinian Territory,798262559.0,,Start
Ibrahim Abu-Lughod,Palestinian Territory,798282902.0,,C
Islah Jad,Palestinian Territory,798331360.0,,Start
Issam Sartawi,Palestinian Territory,798732432.0,,C
Marwan Barghouti,Palestinian Territory,798913975.0,,GA
Mohammad Shtayyeh,Palestinian Territory,799023109.0,,C
Mohammed Dahlan,Palestinian Territory,799023535.0,,C
Nabil Shaath,Palestinian Territory,799072017.0,,Start
Nabeel Kassis,Palestinian Territory,799209138.0,,Start
Mahmoud al-Mabhouh,Palestinian Territory,799802471.0,,GA
Qadura Fares,Palestinian Territory,799858795.0,,Stub
Leila Khaled,Palestinian Territory,800067783.0,,C
Muhammad Nimr al-Hawari,Palestinian Territory,800264686.0,,C
Wadie Haddad,Palestinian Territory,800268417.0,,Start
Munib al-Masri,Palestinian Territory,800663648.0,,C
Suha Arafat,Palestinian Territory,800718761.0,,C
Taba Summit,Palestinian Territory,800748567.0,,C
Sari Nusseibeh,Palestinian Territory,800949001.0,,C
Education Minister of the Palestinian National Authority,Palestinian Territory,801102332.0,,Start
Yaqub al-Ghusayn,Palestinian Territory,801214518.0,,Start
Khaled Mashal,Palestinian Territory,801299475.0,,B
Ziad Abu Ein,Palestinian Territory,801335922.0,,C
Zuhdi Labib Terzi,Palestinian Territory,801507800.0,,Start
Raghib al-Nashashibi,Palestinian Territory,801867039.0,,Start
Jamila Abdallah Taha al-Shanti,Palestinian Territory,802082257.0,,Stub
Jibril Rajoub,Palestinian Territory,802302873.0,,C
Abdelrahman al-Dajani,Palestinian Territory,802436402.0,,Stub
Ahmad Agha Duzdar,Palestinian Territory,802436510.0,,Stub
Musa al-Alami (mayor of Jerusalem),Palestinian Territory,802436655.0,,Stub
Hussam ad-Din Jarallah,Palestinian Territory,802438226.0,,Start
As'ad Shukeiri,Palestinian Territory,802444446.0,,Stub
Eyad al-Sarraj,Palestinian Territory,802495061.0,,Start
Abdel Aziz al-Rantisi,Palestinian Territory,802598153.0,,C
Fatima Bernawi,Palestinian Territory,802835604.0,,Start
Ahmad Sa'adat,Palestinian Territory,802968215.0,,C
Salah Shehade,Palestinian Territory,803242304.0,,C
Mahmoud Abbas,Palestinian Territory,803433440.0,,B
Yasser Arafat,Palestinian Territory,804075706.0,,FA
Ahmad Shukeiri,Palestinian Territory,804132518.0,,Start
10 agorot controversy,Palestinian Territory,804292510.0,,Start
2000 Camp David Summit,Palestinian Territory,804914588.0,,B
Amin al-Husseini,Palestinian Territory,804940228.0,,B
Adel Zawati,Palestinian Territory,804957442.0,,Start
Omar Barghouti,Palestinian Territory,805306238.0,,C
Arab Money,Palestinian Territory,805321868.0,,C
Ghassan Khatib,Palestinian Territory,805441005.0,,Start
Ahmad Toukan,Palestinian Territory,805811873.0,,Start
Khalil al-Wazir,Palestinian Territory,806359448.0,,B
Ismail Haniyeh,Palestinian Territory,806939531.0,,C
Nizar Rayan,Palestinian Territory,807364845.0,,GA
Haifa al-Agha,Palestinian Territory,807439836.0,,Stub
Mahmoud al-Zahar,Palestinian Territory,807444564.0,,C
Hakam Balawi,Palestinian Territory,807459429.0,,Start
Yunis Al Astal,Palestinian Territory,807462818.0,,Start
Yos Por,Cambodia,393822005.0,16.0,Stub
Than Sina,Cambodia,671073599.0,16.0,Stub
Ieu Pannakar,Cambodia,712085445.0,16.0,Stub
Taing Sunlay,Cambodia,713507166.0,16.0,Stub
Dul Koeun,Cambodia,714524609.0,16.0,Stub
Ly Kim Leang,Cambodia,714524624.0,16.0,Stub
Chhor Leang Huot,Cambodia,714524714.0,16.0,Stub
Thak Lany,Cambodia,714524870.0,16.0,Stub
Sok San,Cambodia,714525029.0,16.0,Stub
Tep Ngorn,Cambodia,714528164.0,16.0,Stub
Chan Cheng,Cambodia,714528251.0,16.0,Stub
Nhim Vanda,Cambodia,714528803.0,16.0,Stub
Pen Panha,Cambodia,714528886.0,16.0,Stub
Sieng Nam,Cambodia,714529109.0,16.0,Stub
So Khun,Cambodia,714529370.0,16.0,Stub
Nou Sam,Cambodia,714529507.0,16.0,Stub
Rath Sarem,Cambodia,716812326.0,16.0,Stub
Kong Vibol,Cambodia,726543264.0,16.0,Stub
Monh Saphan,Cambodia,726543284.0,16.0,Stub
Uk Rabun,Cambodia,726543336.0,16.0,Stub
Ay Khorn,Cambodia,726543872.0,16.0,Stub
Oung Ouen,Cambodia,726688556.0,16.0,Stub
List of Deputy Prime Ministers of Cambodia,Cambodia,730617957.0,16.0,Stub
Cambodian People's Party–FUNCINPEC coalition agreement,Cambodia,732331264.0,16.0,Stub
Chuop Hell,Cambodia,735512767.0,16.0,Stub
Kong Korm,Cambodia,736093077.0,16.0,Stub
Chan Nak,Cambodia,736538934.0,16.0,Stub
Huy Kanthoul,Cambodia,736539294.0,16.0,Stub
Vorn Vet,Cambodia,736715950.0,16.0,Stub
Yat Hwaidi,Cambodia,737025619.0,16.0,Stub
Khim Tit,Cambodia,737804996.0,16.0,Stub
Son Chhay,Cambodia,738180794.0,16.0,Start
Kep Chuktema,Cambodia,738478052.0,16.0,Start
Nuth Rumduol,Cambodia,738512371.0,16.0,Stub
Khieu Thavika,Cambodia,738804016.0,16.0,Stub
Norodom Phurissara,Cambodia,738987957.0,16.0,Start
Daran Kravanh,Cambodia,738989624.0,16.0,Stub
Sisowath Monireth,Cambodia,738992094.0,16.0,Start
Sisowath Youtevong,Cambodia,738992441.0,16.0,Start
Ou Chanrith,Cambodia,739217591.0,16.0,Stub
Yem Ponhearith,Cambodia,741680078.0,16.0,Stub
Chrea Sochenda,Cambodia,741923960.0,16.0,Stub
Vong Kan,Cambodia,742006559.0,16.0,Stub
Yos Son,Cambodia,742067282.0,16.0,Stub
Hun Many,Cambodia,744291790.0,16.0,Stub
Chhean Vam,Cambodia,747052284.0,16.0,Stub
Oum Chheang Sun,Cambodia,747052769.0,16.0,Stub
Norodom Kantol,Cambodia,747053219.0,16.0,Stub
Khieu Rada,Cambodia,747555899.0,16.0,Start
Ieu Koeus,Cambodia,747628491.0,16.0,Stub
Cheng Heng,Cambodia,747784875.0,16.0,Start
Mok Mareth,Cambodia,747945224.0,16.0,Start
Kieng Vang,Cambodia,748137241.0,16.0,Stub
Sisowath Watchayavong,Cambodia,748488170.0,16.0,Stub
Sokhom So,Cambodia,749156496.0,16.0,Stub
Min Sean,Cambodia,749304614.0,16.0,Stub
Y Chhean,Cambodia,749338398.0,16.0,Stub
Poa Bun Sreu,Cambodia,749357713.0,16.0,Stub
Toan Vanthara,Cambodia,749387326.0,16.0,Stub
Sok Soty,Cambodia,749388858.0,16.0,Stub
Pal Sam Oeun,Cambodia,749396845.0,16.0,Stub
Ngor Sovann,Cambodia,749470256.0,16.0,Stub
Kea Sahorn,Cambodia,749510551.0,16.0,Stub
Suos Kanan,Cambodia,749517390.0,16.0,Stub
Im Chhun Lim,Cambodia,749537624.0,16.0,Stub
Tram Iv Teuk,Cambodia,749537772.0,16.0,Stub
Hem Khorn,Cambodia,749561164.0,16.0,Stub
Um Nhanh,Cambodia,749569686.0,16.0,Stub
Poa Try,Cambodia,749570183.0,16.0,Stub
Yim Chhaily,Cambodia,749683882.0,16.0,Stub
Ith Prang,Cambodia,749704384.0,16.0,Stub
Try Chheang Huot,Cambodia,749710492.0,16.0,Stub
Suk Sam Eng,Cambodia,749945690.0,16.0,Stub
Nim Thot,Cambodia,749967879.0,16.0,Stub
Ngin Khorn,Cambodia,749970189.0,16.0,Stub
Sorn Inthor,Cambodia,749977252.0,16.0,Stub
You Hockry,Cambodia,750055098.0,16.0,Stub
Samrith Pech,Cambodia,750074445.0,16.0,Stub
Un Neung,Cambodia,750077042.0,16.0,Stub
Bou Thang,Cambodia,750179637.0,16.0,Stub
Peter Khoy Saukam,Cambodia,751227068.0,16.0,Start
Tuot Saron,Cambodia,752967379.0,16.0,Start
Phoeurng Sackona,Cambodia,752979708.0,16.0,Stub
Nhek Bun Chhay,Cambodia,753086260.0,16.0,Stub
Cheam Yeab,Cambodia,753684881.0,16.0,Stub
Chea Poch,Cambodia,753689952.0,16.0,Stub
Chin Bun Sean,Cambodia,753692176.0,16.0,Stub
Chhim Siek Leng,Cambodia,753695057.0,16.0,Stub
Chea Soth,Cambodia,753711610.0,16.0,Stub
Ke Pauk,Cambodia,754318281.0,16.0,Stub
Kong Sam Ol,Cambodia,754944744.0,16.0,Stub
Pho Proeung,Cambodia,755504987.0,16.0,Stub
San Yun,Cambodia,756129985.0,16.0,Stub
Tiv Ol,Cambodia,756722795.0,16.0,Start
Son Ngoc Thanh,Cambodia,758665997.0,16.0,C
Monovithya Kem,Cambodia,759510662.0,16.0,Stub
Mom Chim Huy,Cambodia,761412104.0,16.0,Stub
Norodom Norindeth,Cambodia,761941416.0,16.0,Start
Hem Heng,Cambodia,763098565.0,16.0,Start
Chum Bunrong,Cambodia,763098588.0,16.0,Stub
Duong Vanna,Cambodia,763316692.0,16.0,Stub
Chhay Tan,Cambodia,763968613.0,16.0,Stub
Keat Chhon,Cambodia,765244120.0,16.0,Stub
Ang Vong Vathana,Cambodia,765375452.0,16.0,Stub
Keo Remy,Cambodia,766576352.0,16.0,Stub
Sun Chanthol,Cambodia,766834612.0,16.0,Start
Khieu Kanharith,Cambodia,766836319.0,16.0,Stub
Chay Saing Yun,Cambodia,767217618.0,16.0,Stub
Ek Sam Ol,Cambodia,767218020.0,16.0,Stub
Ouk Rabun,Cambodia,767867369.0,16.0,Stub
Hun Phoeung,Cambodia,768488633.0,16.0,Stub
Nguon Nhel,Cambodia,769381746.0,16.0,Stub
Khuon Sodary,Cambodia,769381831.0,16.0,Stub
Sok Pheng,Cambodia,769447485.0,16.0,Stub
Say Chhum,Cambodia,769929584.0,16.0,Stub
Im Sothy,Cambodia,771408501.0,16.0,Stub
Eng Chhai Eang,Cambodia,773103096.0,16.0,Stub
Heng Pov,Cambodia,773157273.0,16.0,Start
Him Chhem,Cambodia,773455924.0,16.0,Stub
Ho Non,Cambodia,773694865.0,16.0,Stub
Ho Vann,Cambodia,773695304.0,16.0,Stub
Hul Savorn,Cambodia,774100291.0,16.0,Stub
Pol Hom,Cambodia,776153762.0,16.0,Stub
Thong Khon,Cambodia,777665222.0,16.0,Stub
Hor Namhong,Cambodia,777765537.0,16.0,C
Keo Saphal (Siem Reap politician),Cambodia,778675539.0,16.0,Stub
Keo Saphal (Takeo politician),Cambodia,778675542.0,16.0,Stub
Khek Vandy,Cambodia,778806364.0,16.0,Stub
Khun Haing,Cambodia,778825745.0,16.0,Stub
Khy Taing Lim,Cambodia,778830534.0,16.0,Stub
Kimsour Phirith,Cambodia,778947267.0,16.0,Stub
Kuoch Ky,Cambodia,779440080.0,16.0,Stub
Kuoy Bunroeun,Cambodia,779441002.0,16.0,Stub
Chou Bun Eng,Cambodia,779541149.0,16.0,Start
Ke Sovannaroth,Cambodia,779541334.0,16.0,Stub
Norodom Rattana Devi,Cambodia,779541359.0,16.0,Stub
Norodom Vichara,Cambodia,779541415.0,16.0,Stub
Nin Saphon,Cambodia,779541481.0,16.0,Stub
Tioulong Saumura,Cambodia,779541578.0,16.0,Start
Som Kimsuor,Cambodia,779541650.0,16.0,Stub
Suy Sem,Cambodia,780608915.0,16.0,Stub
Sourn Serey Ratha,Cambodia,780691538.0,16.0,Stub
Ly Son,Cambodia,782622853.0,16.0,Stub
Ly Thuch,Cambodia,782622857.0,16.0,Stub
List of heads of state of Cambodia,Cambodia,782894395.0,16.0,C
Son Sann,Cambodia,783107330.0,16.0,C
Mam Bun Neang,Cambodia,783142781.0,16.0,Stub
Chan Sarun,Cambodia,783239117.0,16.0,Stub
Mao Monyvann,Cambodia,783294124.0,16.0,Stub
Men Sam An,Cambodia,784442393.0,16.0,Stub
Mey Norn,Cambodia,784629286.0,16.0,Stub
Sok An,Cambodia,784962640.0,16.0,C
Yem Sambaur,Cambodia,786198076.0,16.0,Start
Yim Sovann,Cambodia,786409843.0,16.0,C
Ek Yi Oun,Cambodia,786826707.0,16.0,Stub
Lu Laysreng,Cambodia,787016670.0,16.0,Stub
Math Ly,Cambodia,787260537.0,16.0,Stub
Chem Widhya,Cambodia,787978108.0,16.0,Start
Pa Socheatvong,Cambodia,788070748.0,16.0,Stub
Governor of Phnom Penh,Cambodia,788070776.0,16.0,Stub
Son Sen,Cambodia,788368060.0,16.0,C
Pen Sovan,Cambodia,788398926.0,16.0,Start
Sak Sutsakhan,Cambodia,788540352.0,16.0,C
Amath Yashya,Cambodia,788758065.0,16.0,Stub
Tong Siv Eng,Cambodia,788799479.0,16.0,Stub
Norodom Chakrapong,Cambodia,788905950.0,16.0,GA
Prak Sokhon,Cambodia,790023943.0,16.0,Start
Khieu Samphan,Cambodia,792012094.0,16.0,C
Sisowath Sirik Matak,Cambodia,792274582.0,16.0,C
Sam Sary,Cambodia,792556486.0,16.0,Start
Tou Samouth,Cambodia,792731504.0,16.0,Start
Yun Yat,Cambodia,793218721.0,16.0,Stub
Khieu Ponnary,Cambodia,793723115.0,16.0,Start
Cham Prasidh,Cambodia,793746447.0,16.0,Start
Ung Huot,Cambodia,794239262.0,16.0,Start
Veng Sereyvuth,Cambodia,794714434.0,16.0,Stub
Ieng Mouly,Cambodia,795214039.0,16.0,Stub
Pou Sothirak,Cambodia,796696955.0,16.0,Stub
Chea Sim,Cambodia,797224256.0,16.0,C
Hu Nim,Cambodia,797444265.0,16.0,C
Sim Var,Cambodia,797618265.0,16.0,Start
Bin Chhin,Cambodia,797673057.0,16.0,Stub
Sim Ka,Cambodia,798039997.0,16.0,Stub
Hou Yuon,Cambodia,798241496.0,16.0,C
Phiset Phanit,Cambodia,799124051.0,16.0,Stub
Norodom Sihanouk,Cambodia,799302232.0,16.0,FA
Pao Ham Phan,Cambodia,799453681.0,16.0,Stub
Heng Samrin,Cambodia,799719505.0,16.0,Start
Kang Kek Iew,Cambodia,799772448.0,16.0,C
Leng Ngeth,Cambodia,800087187.0,16.0,Stub
Spouse of the Prime Minister of Cambodia,Cambodia,800348414.0,16.0,Stub
Nhiek Tioulong,Cambodia,801079233.0,16.0,Start
Keo Puth Rasmey,Cambodia,801523347.0,16.0,Stub
Khem Veasna,Cambodia,802456666.0,16.0,C
Tea Banh,Cambodia,802643748.0,16.0,Start
Ieng Sary,Cambodia,802839704.0,16.0,C
Son Ngoc Minh,Cambodia,803084525.0,16.0,Start
List of monarchs of Cambodia,Cambodia,803230439.0,16.0,C
Ran Serey Leakhena,Cambodia,803481048.0,16.0,Stub
Lon Non,Cambodia,803936929.0,16.0,C
Lon Nil,Cambodia,803936986.0,16.0,Start
